R1,4C,1,3A,2,2P,1,100,200,200,100,100
R1,2020-12-08 19:15:31,O1,BLT,LT,VLT
R1,2020-12-08 19:15:32,O2,VLT,VT,BLT,LT,VLT
R1,2020-12-08 19:16:05,O3,VLT,VT,BLT,LT,VLT
R1,2020-12-08 19:17:15,O4,BT,BLT,VLT,BLT,BT,LT,VLT
R1,2020-12-08 19:19:10,O5,BLT,LT,VLT
R1,2020-12-08 19:15:32,O6,VLT,VT,BLT,VLT,BT
R1,2020-12-08 19:16:05,O7,VLT,LT,BLT,LT,VLT
R1,2020-12-08 19:17:15,O8,BT,BLT,VLT,BLT,BLT
R1,2020-12-08 19:18:15,O9,BT,BLT,VLT,BLT,BLT
R1,2020-12-08 19:21:10,O10,BLT,VLT
R1,2020-12-08 19:25:17,O11,VT,VLT
R1,2020-12-08 19:28:17,O12,VT,VLT
